FarmOwnership,Hectares,SeedPrice,HiredLabor,FamilyLabor,AvgWage,Region
Farmer,3,80,2875,40,68.49,wargabinangun
Farmer,2,70,2110,45,60.09,wargabinangun
Farmer,1,140,980,95,51.99,wargabinangun
Farmer,2,90,2081,10,56.98,wargabinangun
Farmer,0.214,150,40,69,53.75,wargabinangun
Farmer,0.1,50,10,108,56.67,wargabinangun
Farmer,0.286,50,100,63,38,wargabinangun
Farmer,0.07,70,23,57,47.83,wargabinangun
Farmer,0.086,250,15,61,158,wargabinangun
Farmer,0.086,350,15,39,121.67,wargabinangun
Farmer,0.286,60,32,233,47.06,wargabinangun
Farmer,0.286,60,32,231,52.17,wargabinangun
Farmer,0.284,80,65,65,53.15,wargabinangun
Farmer,0.357,150,1,350,52.5,wargabinangun
Farmer,0.357,150,1,178,147.64,wargabinangun
Farmer,0.357,100,1,92,145.45,wargabinangun
Farmer,0.286,100,75,55,54,wargabinangun
Farmer,0.357,200,36,140,102.78,wargabinangun
Farmer,0.357,300,35,85,125.71,wargabinangun
Farmer,0.27,70,100,284,47.06,wargabinangun
Farmer,0.27,70,50,204,56,wargabinangun
Farmer,0.28,80,302,81,51.32,wargabinangun
Farmer,0.286,80,295,85,52.37,wargabinangun
Farmer,0.179,250,115,177,166.96,wargabinangun
Farmer,0.129,250,90,113,147.78,wargabinangun
Farmer,0.086,250,20,88,135,wargabinangun
Farmer,0.082,350,20,56,135.45,wargabinangun
Farmer,0.18,60,101,35,44.08,wargabinangun
Farmer,0.888,50,510,55,52.16,wargabinangun
Farmer,0.377,70,160,207,58.75,wargabinangun
Farmer,0.371,100,110,60,61.82,wargabinangun
Farmer,0.681,150,110,103,131.82,wargabinangun
Farmer,0.281,150,50,98,140,wargabinangun
Farmer,0.143,80,70,86,55.71,wargabinangun
Farmer,0.129,350,8,91,153.13,wargabinangun
Farmer,0.129,350,8,78,165.63,wargabinangun
Farmer,0.357,80,310,89,52.88,wargabinangun
Farmer,0.357,100,230,199,52.17,wargabinangun
Farmer,0.355,75,229,44,54.15,wargabinangun
Farmer,0.357,90,62,58,68.39,wargabinangun
Farmer,0.157,300,1,135,147.64,wargabinangun
Farmer,0.157,300,1,109,125.45,wargabinangun
Farmer,0.357,90,208,20,59.66,wargabinangun
Farmer,0.357,250,235,30,149.68,wargabinangun
Farmer,0.357,250,200,15,152.75,wargabinangun
Farmer,0.714,70,425,58,46.3,wargabinangun
Farmer,0.714,70,385,53,37.66,wargabinangun
Farmer,0.355,80,430,20,50.7,wargabinangun
Farmer,0.536,150,380,91,54.21,wargabinangun
Farmer,0.643,268.75,300,180,153.5,wargabinangun
Farmer,0.643,225,331,44,156.59,wargabinangun
Farmer,1.428,150,1054,131,148.1,wargabinangun
Farmer,1.428,150,659,103,148.85,wargabinangun
Farmer,1.071,60,1055,55,59.98,wargabinangun
Farmer,1.071,60,1240,65,39.52,wargabinangun
Farmer,0.179,90,44,54,46.02,wargabinangun
Farmer,0.09,80,20,66,50,wargabinangun
Farmer,0.029,175,1,132,147.64,wargabinangun
Farmer,0.029,350,1,80,125.45,wargabinangun
Farmer,1.286,90,499,136,44.93,wargabinangun
Farmer,1.286,90,331,117,44.38,wargabinangun
Farmer,0.533,100,290,55,54.9,wargabinangun
Farmer,0.355,90,150,82,50,wargabinangun
Farmer,0.571,375,60,384,155,wargabinangun
Farmer,0.571,350,44,178,142.05,wargabinangun
Farmer,0.357,70,225,107,47.27,wargabinangun
Farmer,0.714,70,250,127,56,wargabinangun
Farmer,1.065,80,525,380,52.86,wargabinangun
Farmer,1.071,60,250,52,56,wargabinangun
Farmer,0.535,300,306,112,150.78,wargabinangun
Farmer,0.535,300,216,234,145.93,wargabinangun
Farmer,0.357,70,150,10,50.67,wargabinangun
Farmer,3.57,70,3270,140,49.32,wargabinangun
Farmer,3.57,60,1620,140,52.22,wargabinangun
Farmer,5,80,2650,125,52.08,wargabinangun
Farmer,0.714,150,548,45,148.83,wargabinangun
Farmer,0.714,150,448,47,142.32,wargabinangun
Farmer,0.56,100,193,73,40.51,langan
Farmer,0.56,100,70,84,57.14,langan
Farmer,0.357,55,80,376,31.25,langan
Farmer,0.577,100,350,193,36.08,langan
Farmer,0.577,87,68,173,37.41,langan
Farmer,0.5,55,276,48,37.59,langan
Farmer,0.5,100,100,286,55,langan
Farmer,0.5,325,240,190,125.42,langan
Farmer,0.5,300,88,224,121.08,langan
Farmer,0.5,100,232,83,42.74,langan
Farmer,0.5,100,127,440,40,langan
Farmer,0.357,55,160,40,37.5,langan
Farmer,0.5,80,240,29,51.25,langan
Farmer,0.714,300,480,40,143.75,langan
Farmer,0.357,300,172,24,145.49,langan
Farmer,0.21,100,26,165,42.86,langan
Farmer,0.21,100,30,175,40,langan
Farmer,0.214,55,20,96,31.25,langan
Farmer,0.286,70,54,277,53.7,langan
Farmer,0.357,170,115,113,145.43,langan
Farmer,0.357,140,120,70,136.25,langan
Farmer,5.322,80,4536,238,48.44,langan
Farmer,2.898,80,1878,134,39.15,langan
Farmer,2.923,80,2198,584,40.56,langan
Farmer,2.13,70,2211,195,50.17,langan
Farmer,1.286,150,370,730,131.08,langan
Farmer,0.357,200,1,182,130,langan
Farmer,1.82,80,1363,120,43.22,langan
Farmer,1.47,80,569,92,38.33,langan
Farmer,2.1,55,2520,48,35.42,langan
Farmer,1.429,80,560,43,56.61,langan
Farmer,3.929,200,2858,592,145.23,langan
Farmer,1.786,120,840,256,145.23,langan
Farmer,0.06,100,6,84,44.44,langan
Farmer,0.06,50,15,118,42.86,langan
Farmer,0.07,80,1,135,46.73,langan
Farmer,0.071,75,16,66,50,langan
Farmer,1.356,80,287,426,40.14,langan
Farmer,0.638,80,98,271,44.9,langan
Farmer,0.572,55,224,110,37.95,langan
Farmer,0.285,60,1,185,42.5,langan
Farmer,1,300,104,592,145,langan
Farmer,1,300,1,530,125.5,langan
Farmer,0.496,100,62,366,43.75,langan
Farmer,0.286,80,1,177,34.5,langan
Farmer,0.357,55,40,352,42.5,langan
Farmer,0.098,60,16,94,56.25,langan
Farmer,0.143,130,80,82,135.63,langan
Farmer,0.143,100,71,82,149.3,langan
Farmer,3.5,80,2849,1364,36.3,langan
Farmer,1,80,161,196,36.19,langan
Farmer,3.59,80,2374,1462,36.78,langan
Farmer,0.84,70,155,193,48.71,langan
Farmer,3,212.5,811,1526,118.72,langan
Farmer,3,120,1270,980,150,langan
Farmer,0.28,80,287,10,44.64,langan
Farmer,0.28,80,120,12,43.33,langan
Farmer,0.2,55,46,85,38.59,langan
Farmer,0.28,120,101,29,44.65,langan
Farmer,0.2,150,35,162,147.14,langan
Farmer,1,80,805,91,47.09,langan
Farmer,1,80,490,69,46.94,langan
Farmer,1,55,528,48,30.97,langan
Farmer,1,175,309,68,52.72,langan
Farmer,1.571,130,1094,130,129.9,langan
Farmer,1.571,150,555,45,138.74,langan
Farmer,0.286,80,257,35,49.03,langan
Farmer,0.286,80,189,18,36.51,langan
Farmer,0.142,100,76,72,42.76,langan
Farmer,0.28,60,71,114,43.66,langan
Farmer,0.143,350,56,68,136.61,langan
Farmer,0.143,300,32,70,154.69,langan
Farmer,0.772,80,419,193,41.57,langan
Farmer,0.352,80,42,245,38.1,langan
Farmer,0.858,60,48,468,37.5,langan
Farmer,0.357,70,1,132,42.5,langan
Farmer,0.572,350,224,548,131.7,langan
Farmer,0.572,300,96,300,127.08,langan
Farmer,0.11,125,30,76,47.5,langan
Farmer,0.11,125,35,42,38.57,langan
Farmer,0.214,55,80,36,38.75,langan
Farmer,0.143,80,30,213,40,langan
Farmer,0.071,300,104,8,157.93,langan
Farmer,0.071,300,52,11,113.94,langan
Farmer,0.286,80,38,147,51.18,langan
Farmer,0.714,190,387,300,126.1,langan
Farmer,0.964,100,104,297,145.67,langan
Farmer,4.07,80,2044,1080,39.49,langan
Farmer,0.143,80,25,94,48,langan
Farmer,3.643,80,2080,851,54.09,langan
Farmer,0.286,90,132,58,52.27,langan
Farmer,0.286,350,108,52,147.69,langan
Farmer,0.286,300,119,32,126.89,langan
Farmer,1.143,80,216,726,35.78,langan
Farmer,0.143,100,14,81,57.14,langan
Farmer,0.5,70,1,448,42.35,langan
Farmer,0.143,80,16,229,37.5,langan
Farmer,0.636,80,118,239,45.83,langan
Farmer,0.143,80,8,75,50,langan
Farmer,0.5,60,140,246,50,langan
Farmer,0.143,90,51,298,55.29,langan
Farmer,0.214,120,32,88,121.88,langan
Farmer,0.214,120,1,80,120,langan
Farmer,0.286,80,84,114,38.72,langan
Farmer,0.286,80,70,86,35.71,langan
Farmer,0.286,70,25,199,50,langan
Farmer,0.286,60,45,261,53.33,langan
Farmer,0.786,300,120,348,138.75,langan
Farmer,0.286,300,48,104,131.25,langan
Farmer,0.71,70,324,104,42.28,langan
Farmer,0.714,325,240,186,138.75,langan
Farmer,0.714,300,352,164,135.06,langan
Farmer,0.064,70,8,79,40.5,langan
Farmer,0.064,70,8,49,50,langan
Farmer,0.28,80,81,169,45.06,langan
Farmer,0.128,80,10,108,55,langan
Farmer,0.057,100,26,74,150.38,langan
Farmer,0.057,140,16,109,128.75,langan
Farmer,0.28,100,190,29,38.02,langan
Farmer,0.28,100,194,3,39.9,langan
Farmer,0.357,55,236,16,48.31,langan
Farmer,0.357,80,260,74,42.31,langan
Farmer,1.429,350,884,98,149.04,langan
Farmer,1.429,300,820,50,129.69,langan
Farmer,0.07,80,1,90,50,langan
Farmer,0.07,80,1,46,39.43,langan
Farmer,0.142,80,1,126,42.35,langan
Farmer,0.071,80,1,97,52.5,langan
Farmer,0.357,250,1,384,122.33,langan
Farmer,0.357,250,1,224,120,langan
Farmer,0.14,80,85,85,39.08,gunungwangi
Farmer,0.14,80,85,85,40,gunungwangi
Farmer,0.15,65,160,16,37.5,gunungwangi
Farmer,0.15,100,105,52,45.24,gunungwangi
Farmer,0.429,160,385,156,142.86,gunungwangi
Farmer,0.429,190,425,156,146.35,gunungwangi
Farmer,0.18,90,85,21,44.16,gunungwangi
Farmer,0.18,90,99,21,34.34,gunungwangi
Farmer,0.08,75,70,16,50,gunungwangi
Farmer,0.086,80,43,48,51.86,gunungwangi
Farmer,0.074,100,8,32,135,gunungwangi
Farmer,0.014,100,1,17,140,gunungwangi
Farmer,0.185,100,66,24,59.12,gunungwangi
Farmer,0.175,100,66,24,51.21,gunungwangi
Farmer,0.12,65,80,36,45.63,gunungwangi
Farmer,0.08,100,119,63,52.86,gunungwangi
Farmer,0.7,100,420,144,52.38,gunungwangi
Farmer,1.663,200,951,394,127.46,gunungwangi
Farmer,1.663,275,951,528,123.88,gunungwangi
Farmer,0.375,100,245,151,54.9,gunungwangi
Farmer,0.42,321,254,348,126.77,gunungwangi
Farmer,0.42,275,254,441,126.77,gunungwangi
Farmer,0.36,100,108,158,55.45,gunungwangi
Farmer,0.36,150,108,158,56.67,gunungwangi
Farmer,0.015,65,1,47,56.43,gunungwangi
Farmer,0.179,80,50,61,54,gunungwangi
Farmer,0.92,90,587,55,58.41,gunungwangi
Farmer,0.92,90,687,55,58.66,gunungwangi
Farmer,0.375,55,140,35,60,gunungwangi
Farmer,0.535,120,293,90,44.71,gunungwangi
Farmer,0.519,200,303,104,141.25,gunungwangi
Farmer,0.604,200,330,103,138.79,gunungwangi
Farmer,0.3,82.5,100,255,49.02,gunungwangi
Farmer,0.3,82.5,100,255,50,gunungwangi
Farmer,0.15,65,1,216,54.43,gunungwangi
Farmer,0.05,70,1,123,52.5,gunungwangi
Farmer,0.03,200,5,35,140,gunungwangi
Farmer,0.03,200,5,35,140,gunungwangi
Farmer,0.5,80,110,93,60.68,gunungwangi
Farmer,0.51,160,180,136,156.67,gunungwangi
Farmer,0.51,190,230,151,138.26,gunungwangi
Farmer,0.75,72,162,78,66.98,gunungwangi
Farmer,0.557,160,225,82,152.22,gunungwangi
Farmer,0.557,190,465,82,141.53,gunungwangi
Farmer,0.35,90,248,8,57.5,gunungwangi
Farmer,0.35,90,258,8,53.49,gunungwangi
Farmer,0.02,65,1,25,52.43,gunungwangi
Farmer,0.282,70,365,66,57.81,gunungwangi
Farmer,0.073,120,57,37,131.58,gunungwangi
Farmer,0.043,142.5,85,37,134.12,gunungwangi
Farmer,0.193,80,145,90,55.38,gunungwangi
Farmer,0.149,200,1,109,127.45,gunungwangi
Farmer,0.049,200,1,136,140.5,gunungwangi
Farmer,0.179,80,1,102,58.33,gunungwangi
Farmer,0.179,80,1,137,53.5,gunungwangi
Farmer,0.179,60,1,184,52.43,gunungwangi
Farmer,0.179,75,20,201,40,gunungwangi
Farmer,0.814,160,500,312,136.24,gunungwangi
Farmer,0.636,190,456,262,125.88,gunungwangi
Farmer,0.04,80,1,61,55.5,gunungwangi
Farmer,0.08,160,1,120,137.45,gunungwangi
Farmer,0.08,190,1,165,130.5,gunungwangi
Farmer,0.67,90,480,115,41.7,gunungwangi
Farmer,0.67,90,480,115,41.88,gunungwangi
Farmer,0.375,60,100,48,62,gunungwangi
Farmer,0.355,80,288,99,56.25,gunungwangi
Farmer,0.07,200,16,142,132.5,gunungwangi
Farmer,0.07,200,16,142,122.5,gunungwangi
Farmer,0.534,80,155,119,35.67,gunungwangi
Farmer,0.534,80,220,137,60.18,gunungwangi
Farmer,0.14,100,15,81,53.33,gunungwangi
Farmer,0.15,70,27,91,50,gunungwangi
Farmer,0.107,160,30,128,123.33,gunungwangi
Farmer,0.107,190,34,114,118.82,gunungwangi
Farmer,0.143,100,42,219,52.86,gunungwangi
Farmer,0.221,160,1,111,137.45,gunungwangi
Farmer,0.221,160,1,111,130.5,gunungwangi
Farmer,0.7,80,484,76,57.28,gunungwangi
Farmer,0.7,80,285,306,54.74,gunungwangi
Farmer,0.457,60,325,77,55,gunungwangi
Farmer,0.457,100,210,89,52.38,gunungwangi
Farmer,0.7,200,819,278,137.24,gunungwangi
Farmer,0.7,250,675,318,136.52,gunungwangi
Farmer,0.5,80,285,110,55.05,gunungwangi
Farmer,0.5,80,325,110,48.62,gunungwangi
Farmer,0.357,80,193,126,48.2,gunungwangi
Farmer,0.357,80,106,78,51.56,gunungwangi
Farmer,1.071,160,369,265,138.75,gunungwangi
Farmer,1.071,190,370,315,138.38,gunungwangi
Farmer,0.5,100,154,263,45.06,gunungwangi
Farmer,0.424,250,138,246,135.8,gunungwangi
Farmer,0.424,250,98,258,138.57,gunungwangi
Farmer,0.08,100,1,54,55.56,gunungwangi
Farmer,0.08,100,1,48,53.5,gunungwangi
Farmer,0.017,60,1,47,50.43,gunungwangi
Farmer,0.071,80,1,79,55.5,gunungwangi
Farmer,0.129,160,1,144,127.45,gunungwangi
Farmer,0.129,190,1,144,130.5,gunungwangi
Farmer,0.35,60,295,15,41.84,gunungwangi
Farmer,0.35,60,340,106,40,gunungwangi
Farmer,0.351,100,208,24,60.24,gunungwangi
Farmer,0.351,70,160,48,50.63,gunungwangi
Farmer,0.35,190,134,114,132.46,gunungwangi
Farmer,0.35,190,121,144,168.55,gunungwangi
Farmer,0.714,80,571,294,48.12,gunungwangi
Farmer,0.714,80,304,126,53.29,gunungwangi
Farmer,0.32,160,176,124,144.32,gunungwangi
Farmer,0.07,200,7,53,151.43,gunungwangi
Farmer,0.3,100,374,128,44.12,gunungwangi
Farmer,0.536,80,150,261,54,gunungwangi
Farmer,0.774,160,450,167,150,gunungwangi
Farmer,0.724,200,505,154,157.03,gunungwangi
Farmer,0.18,50,57,64,57.63,gunungwangi
Farmer,0.18,50,77,216,48.05,gunungwangi
Farmer,0.1,65,21,111,42.86,gunungwangi
Farmer,0.179,80,25,65,55,gunungwangi
Farmer,0.179,160,10,95,140,gunungwangi
Farmer,0.179,190,20,95,130,gunungwangi
Farmer,0.714,160,251,110,149.8,gunungwangi
Farmer,0.714,190,351,110,140.8,gunungwangi
Farmer,1.036,160,684,100,142.68,gunungwangi
Farmer,1.036,190,510,100,142.68,gunungwangi
Farmer,0.525,80,225,115,52.86,gunungwangi
Farmer,0.525,80,225,115,53.33,gunungwangi
Farmer,0.25,60,40,47,67.5,gunungwangi
Farmer,0.175,80,130,88,54.62,gunungwangi
Farmer,0.536,100,266,108,48.31,gunungwangi
Farmer,0.566,160,330,232,123.33,gunungwangi
Farmer,0.566,190,330,232,130.3,gunungwangi
Farmer,0.753,80,410,304,47.2,gunungwangi
Farmer,0.357,100,160,172,151.25,gunungwangi
Farmer,0.357,100,160,196,141.25,gunungwangi
Farmer,0.42,40,142,160,55,malausma
Farmer,0.07,60,32,52,55.63,malausma
Farmer,0.43,80,152,69,45.39,malausma
Farmer,0.3,100,154,126,56.82,malausma
Farmer,0.857,140,825,855,127.82,malausma
Farmer,0.286,150,132,173,132.12,malausma
Farmer,0.112,40,1,90,56.67,malausma
Farmer,0.07,105,1,69,45.5,malausma
Farmer,0.143,70,6,110,56.67,malausma
Farmer,0.086,80,1,105,48.5,malausma
Farmer,0.071,140,91,52,117.69,malausma
Farmer,0.036,150,39,29,135.38,malausma
Farmer,0.455,40,200,359,54.5,malausma
Farmer,0.07,60,1,61,45.5,malausma
Farmer,0.464,70,480,212,57.61,malausma
Farmer,0.14,100,63,84,51.59,malausma
Farmer,0.457,140,376,374,126.33,malausma
Farmer,0.143,45,65,110,52.31,malausma
Farmer,0.036,50,45,19,43.33,malausma
Farmer,0.143,80,28,35,52.86,malausma
Farmer,0.085,100,59,31,45.76,malausma
Farmer,0.071,140,40,89,128,malausma
Farmer,0.036,160,28,12,131.43,malausma
Farmer,0.214,40,284,104,41.61,malausma
Farmer,0.214,60,184,109,54.08,malausma
Farmer,0.143,50,24,67,63.33,malausma
Farmer,0.143,75,42,76,59.52,malausma
Farmer,0.214,100,86,153,122.79,malausma
Farmer,0.214,150,38,120,135.79,malausma
Farmer,0.196,40,1,217,57.14,malausma
Farmer,0.14,60,1,126,45.5,malausma
Farmer,0.143,65,1,98,66.28,malausma
Farmer,0.126,80,1,104,48.5,malausma
Farmer,0.143,140,1,141,129.35,malausma
Farmer,0.143,140,1,141,120.5,malausma
Farmer,0.429,40,366,78,35.16,malausma
Farmer,0.143,60,146,42,35.62,malausma
Farmer,0.28,70,111,88,60.18,malausma
Farmer,0.213,80,159,31,47.17,malausma
Farmer,0.4,150,322,63,137.58,malausma
Farmer,0.25,160,207,50,139.13,malausma
Farmer,0.49,42,123,246,55.2,malausma
Farmer,0.34,60,27,152,59.26,malausma
Farmer,0.5,65,305,331,65.14,malausma
Farmer,0.143,80,93,56,60.75,malausma
Farmer,1.114,150,425,663,120.66,malausma
Farmer,0.557,200,253,308,128.46,malausma
Farmer,0.057,74.5,26,104,56.15,malausma
Farmer,0.486,140,676,308,129.82,malausma
Farmer,0.057,150,26,68,129.23,malausma
Farmer,0.128,80,68,98,57.35,malausma
Farmer,0.143,150,75,107,130.67,malausma
Farmer,0.093,160,34,40,132.06,malausma
Farmer,0.143,40,95,78,37.11,malausma
Farmer,0.043,50,1,60,45.5,malausma
Farmer,0.07,80,1,76,66.28,malausma
Farmer,0.036,65,1,70,48.5,malausma
Farmer,0.143,200,16,138,150,malausma
Farmer,0.071,200,1,75,135.5,malausma
Farmer,0.071,100,16,46,47.5,malausma
Farmer,0.357,150,122,240,123.11,malausma
