MakeModel,SedanSize,Price,RoadTest,Reliability
"Toyota Corolla (base, manual)",Small Sedan,"16,419",70,4
Mazda3 i Touring (manual),Small Sedan,"18,895",74,5
Toyota Corolla LE,Small Sedan,"18,404",71,4
Mazda3 i Touring,Small Sedan,"19,745",70,5
Hyundai Elantra GLS,Small Sedan,"18,445",80,3
Nissan Sentra 2.0 SL,Small Sedan,"20,150",74,4
Kia Forte Sedan EX,Small Sedan,"19,040",71,3
Ford Focus SE,Small Sedan,"20,280",68,2
Ford Fiesta SE,Small Sedan,"16,595",61,2
Volkswagen Jetta SE (2.5),Small Sedan,"20,300",60,3
Volkswagen Jetta TDI,Small Sedan,"25,100",68,2
Chevrolet Cruze LS (1.8),Small Sedan,"18,375",67,1
Chevrolet Cruze 1LT (1.4T),Small Sedan,"20,530",69,1
Nissan Altima 2.5 S (4-cyl.),Family Sedan,"23,970",91,4
Kia Optima LX (2.4),Family Sedan,"21,885",81,4
Subaru Legacy 2.5i Premium,Family Sedan,"23,830",83,4
Ford Fusion Hybrid,Family Sedan,"32,360",84,5
Honda Accord LX-P (4-cyl.),Family Sedan,"23,730",80,4
Mazda6 i Sport (4-cyl.),Family Sedan,"22,035",73,4
Hyundai Sonata GLS (2.4),Family Sedan,"21,800",89,3
Ford Fusion SE (4-cyl.),Family Sedan,"23,625",76,4
Chevrolet Malibu LT (4-cyl.),Family Sedan,"24,115",74,3
Kia Optima SX (2.0T),Family Sedan,"29,050",84,4
Ford Fusion SEL (V6),Family Sedan,"28,400",80,4
Nissan Altima 3.5 SR (V6),Family Sedan,"30,335",93,4
Hyundai Sonata Limited (2.0T),Family Sedan,"28,090",89,3
Honda Accord EX-L (V6),Family Sedan,"28,695",90,3
Mazda6 s Grand Touring (V6),Family Sedan,"30,790",81,4
"Ford Fusion SEL (V6, AWD)",Family Sedan,"30,055",75,4
Subaru Legacy 3.6R Limited,Family Sedan,"30,094",88,3
Chevrolet Malibu LTZ (V6),Family Sedan,"28,045",83,3
Chrysler 200 Limited (V6),Family Sedan,"27,825",52,5
Chevrolet Impala LT (3.6),Family Sedan,"28,995",63,3
Lexus ES 350,Upscale Sedan,"38,615",91,5
Acura TL (base),Upscale Sedan,"36,465",82,5
Lexus IS 250,Upscale Sedan,"33,734",84,5
Infiniti G25 Journey,Upscale Sedan,"34,225",86,4
Lexus HS 250h Premium,Upscale Sedan,"38,939",83,4
Acura TSX (4-cyl.),Upscale Sedan,"29,675",84,3
Infiniti G37 Journey,Upscale Sedan,"37,225",95,4
Toyota Avalon Limited,Upscale Sedan,"35,485",86,3
Hyundai Genesis 3.8,Upscale Sedan,"39,850",92,3
Volvo S60 T5,Upscale Sedan,"35,100",77,4
Nissan Maxima 3.5 SV,Upscale Sedan,"33,700",83,3
Buick Regal CXL (2.4),Upscale Sedan,"28,840",77,2
Lincoln MKZ,Upscale Sedan,"37,160",77,4
BMW 328i,Upscale Sedan,"39,175",77,3
Audi A4 Premium Quattro,Upscale Sedan,"35,895",76,3
Ford Taurus Limited,Upscale Sedan,"34,980",73,3
Buick Regal CXL (turbo),Upscale Sedan,"32,135",79,2
Mercedes-Benz C300 Sport,Upscale Sedan,"37,325",77,3
Volkswagen CC Luxury (2.0T),Upscale Sedan,"32,680",82,2
Saab 9-3 2.0T,Upscale Sedan,"31,615",69,3
Buick LaCrosse CXS (V6),Upscale Sedan,"37,555",74,2