CancelledService,AccountWeeks,RecentRenewal,DataPlan,DataUsage,CustServCalls,AvgCallMinsPerMonth,AvgCallsPerMonth,MonthlyBill,OverageFee
0,164,1,1,3.86,1,219.1,88,89.6,7.58
1,177,0,0,0,1,248.7,118,57,8.62
0,132,1,0,0.31,1,191.9,107,54.1,10.35
1,70,1,0,0,0,232.8,95,66,15.17
0,81,1,1,3.29,1,161.6,117,70.9,6.15
0,70,1,0,0,1,222.8,114,57,10.8
0,66,1,0,0,1,201.3,95,48,7.64
0,133,1,0,0,0,201.7,85,49,8.47
1,54,1,0,0,1,272.6,83,68,12.44
1,101,1,0,0,4,158.4,92,43,9.4
1,63,1,0,0,4,278,102,70,13.32
1,87,1,0,0,5,151,83,45,10.99
0,51,1,0,0,0,214.8,94,50,7.49
0,75,1,1,0.68,1,200.6,96,55.8,8.21
0,84,1,0,0,1,159,80,42,8.4
1,44,1,0,0.21,3,288.1,112,73.1,12.9
1,35,1,0,0,5,138.1,115,37,7.91
0,116,1,1,1.89,2,204.7,118,71.9,10.47
0,125,1,1,1.46,1,201.3,117,52.6,2.11
0,42,1,1,2.19,0,163.8,80,64.9,8.89
1,94,1,0,0,4,157.9,105,41,7.75
0,86,1,0,0.34,1,166.2,112,53.4,12.77
1,111,1,0,0,4,176.9,128,39,5.14
1,62,1,0,0,1,248.7,109,61,11
0,90,1,0,0,2,102,118,27,5.67
1,100,1,0,0.32,0,278,76,66.2,8.84
1,76,1,0,0,0,272.7,97,67,11.82
1,146,1,0,0,7,149.3,83,42,9.36
0,162,1,0,0.28,2,115.1,89,39.8,9.84
1,182,1,0,0,2,279.1,124,63,9.03
1,27,1,0,0.36,2,226.3,95,65.6,13.72
0,144,1,0,0,2,139.6,96,35,6.21
0,137,1,0,0,3,110.5,79,38,11.16
1,99,0,0,0,0,242.3,102,72,17.55
0,64,1,0,0.29,1,162.6,83,43.9,7.62
0,97,1,0,0,1,146,121,43,10.15
1,93,0,0,0,1,216.9,61,55,10.37
1,126,1,1,3.46,4,153.4,90,73.6,7.57
1,130,0,0,0,5,216.2,106,68,18.19
0,68,1,0,0.11,3,222.8,99,54.1,8.79
1,115,0,0,0,1,345.3,81,76,10.17
0,115,1,1,1.22,0,155.2,110,59.2,11.55
1,112,1,0,0,3,272.5,119,66,11.31
1,103,1,1,3.75,4,110.5,101,74.5,10.42
0,164,1,1,2.59,3,159.7,102,67.9,8.44
1,94,1,0,0,3,271.2,105,64,10.13
0,70,1,1,2.65,1,249.5,101,91.5,12.99
1,83,1,0,0,0,337.4,120,77,11.37
0,125,1,1,2.78,0,268.4,112,92.8,11.11
0,109,1,0,0.31,3,180,100,54.1,11.45
0,66,1,0,0,1,118,133,42,12.41
0,106,1,0,0,3,213.9,95,50,7.6
1,100,1,0,0,4,113.3,96,37,9.9
0,58,1,1,2.27,0,178.1,111,73.7,11.84
1,73,1,0,0,1,217.8,91,56,11.03
1,76,0,0,0,0,246.8,110,60,10.32
0,106,1,0,0,1,158.7,74,33,3.22
0,88,1,0,0,2,189.8,111,50,9.87
0,142,1,0,0,1,145.4,93,43,10.46
1,126,1,0,0,3,249.8,96,65,13.1
1,58,1,0,0,0,112.2,95,37,10.48
0,75,1,1,3.35,1,130.9,115,73.5,10.17
1,125,1,0,0,0,240.7,82,64,13.47
1,122,0,0,0,0,230.9,132,60,12.16
0,37,1,0,0,0,206,89,51,9.3
1,73,1,0,0,1,286.4,109,64,8.91
0,90,1,0,0,1,175.9,111,55,14.26
1,116,1,0,0,0,288,120,71,12.79
1,117,1,0,0.39,5,118.4,126,45.9,12.47
1,60,1,0,0,1,179.3,147,49,10.45
0,156,1,0,0,1,237.7,122,56,9.08
1,122,1,1,3.65,1,174.9,103,87.5,12.41
0,135,1,1,3.94,2,197.1,113,95.4,12.97
1,77,0,1,3.21,0,103.2,117,70.1,11.82
1,119,0,1,2.35,5,160,95,69.5,10.48
1,68,0,1,3.83,3,125.7,92,83.3,13.8
0,167,1,0,0,1,166.4,85,49,12.16
1,88,0,0,0,4,235.1,98,62,12.59
0,139,1,0,0,2,271.6,130,60,7.8
1,109,0,0,0,2,268.4,85,59,7.53
0,100,1,0,0,2,142.5,87,41,9.79
1,109,1,0,0,1,264.7,69,71,15.25
0,165,1,0,0.13,1,150.5,75,43.3,9.66
0,98,1,1,2.97,2,110.3,71,64.7,9.12
1,62,1,1,3,2,186.4,84,79,10.05
0,159,1,0,0.29,5,198.8,107,53.9,9.78
0,170,0,0,0,3,259.9,68,66,12.25
0,56,1,0,0,2,164.3,92,48,11.69
0,52,1,0,0,3,129.3,80,35,7.14
0,89,1,0,0,1,197.1,110,48,8.3
0,78,1,0,0,3,252.9,93,59,8.92
1,225,1,0,0.3,0,165.4,106,55,13.69
1,92,1,1,1.73,1,201.3,130,69.3,10.19
1,131,1,0,0,1,131.6,95,38,8.97
0,78,1,0,0.51,1,168.3,110,53.1,11.06
0,138,1,0,0,0,205.9,96,57,12.86
0,149,1,0,0,7,166.6,61,47,10.94
0,51,0,1,3.32,2,135.8,60,74.2,10.03
1,85,1,0,0,5,165.8,96,45,9.5
1,48,1,1,4.24,2,152,63,90.4,12.94
0,131,1,1,3.62,1,156.6,134,69.2,3.55
1,132,1,1,2.84,3,226.2,103,82.4,9.08
0,58,1,0,0,4,210.1,126,57,12.45
1,113,1,0,0,3,245.3,108,64,13
1,126,0,0,0,1,239.7,87,65,14.09
0,59,1,0,0,1,204.3,65,56,12.37
1,116,1,0,0,6,159.4,79,43,8.98
1,86,1,0,0.3,7,128.3,121,42,9.86
1,171,1,0,0,1,270.5,69,66,11.5
0,91,1,1,2.48,0,162.3,107,72.8,11.7
0,41,1,0,0,1,207.2,138,54,10.71
0,84,1,0,0,1,216.1,114,54,9.88
0,128,1,1,2.32,0,179.3,104,73.2,11.3
0,127,1,1,2.65,1,182,80,76.5,10.81
0,118,0,0,0,2,160,123,43,8.77
1,115,0,0,0,3,251.3,69,65,12.63
0,104,1,0,0,2,144.5,107,40,9.03
0,70,1,0,0,1,213.4,86,54,10.24
0,80,1,0,0,1,124.3,100,36,8.65
1,125,0,0,0,0,187.3,118,46,8.04
0,75,0,0,0.29,1,153.2,78,46.9,10.54
1,71,1,0,0,3,290.4,108,71,12.7
1,74,1,0,0,2,174.1,96,51,12.56
0,78,1,0,0,0,149.7,119,41,9.11
0,122,1,1,3.19,4,270.8,96,96.9,11.02
0,44,1,0,0,1,240.3,146,55,8.23
1,2,0,0,0.27,2,132.1,42,37.7,6.95
1,103,1,1,2.94,6,87.2,92,59.4,8.47
1,106,1,0,0,2,210.6,96,57,12.46
0,72,1,0,0.27,0,272.4,88,58.7,5.4
1,17,1,1,2.7,6,153.1,115,69,9.3
0,98,1,0,0.16,1,171.7,99,46.6,8.74
1,99,1,0,0.12,7,135.7,107,42.2,10.42
0,93,1,0,0.17,3,152.4,74,51.7,13.73
1,212,1,0,0.23,2,226,127,67.3,15.23
1,111,1,0,0,0,284.4,89,62,7.85
1,55,1,0,0.4,0,285.7,124,73,11.55
1,128,1,0,0,1,237.9,125,62,12.38
0,113,1,0,0,1,207.2,113,57,12.8
1,122,0,0,0.3,4,140,101,44,9.82
0,194,1,0,0,0,193.3,106,48,8.45
0,86,1,0,0,3,136.4,104,41,10.13
1,66,1,0,0,1,167.3,91,48,11.5
0,98,1,0,0,0,288.1,101,61,6.9
1,94,0,0,0,1,89.5,94,45,17
1,127,1,0,0,0,245.2,91,61,10.86
1,108,1,0,0.27,2,291.6,99,71.7,11.06
1,62,0,0,0,0,159.7,86,44,9.88
1,161,0,0,0,1,194.2,106,55,12.47
1,74,1,0,0,3,314.1,86,73,11.12
1,54,1,0,0,1,286.6,73,68,11.16
1,105,0,0,0,1,273.9,119,71,13.93
1,209,1,0,0,3,255.1,124,63,11.53
0,57,1,1,2.57,0,213,115,78.7,9.56
0,110,1,0,0,1,227.7,88,54,8.5
0,11,1,1,2.7,2,131.5,98,69,11.51
1,91,1,0,0,5,154.4,165,41,8.42
1,137,0,0,0,2,135.1,95,35,6.71
0,89,1,1,2.86,1,215.1,140,82.6,9.87
1,56,1,0,0.25,0,221.9,112,64.5,13.91
0,95,1,0,0,1,229.9,116,57,10.12
1,96,1,1,2.78,5,172.7,93,67.8,6.01
0,107,1,1,2.78,1,96.3,83,59.8,8.98
1,208,1,0,0.33,2,326.5,67,74.3,8.82
0,31,1,1,3.11,1,210.5,101,89.1,12.53
1,97,1,0,0,0,225.1,90,63,13.98
0,145,1,0,0,1,199.2,124,45,6.3
1,109,1,1,2.43,6,111.2,90,66.3,13.18
1,124,1,0,0,1,312,112,69,9
0,120,1,0,0.36,2,98.2,99,36.6,9.34
1,122,1,0,0,4,296.4,99,69,10.74
0,192,1,0,0,4,221.6,101,62,14.26
0,69,1,0,0,3,228.2,70,62,13.19
1,61,1,0,0,1,267.1,104,61,9.02
1,125,1,0,0,4,143.2,80,32,4.41
0,118,1,0,0,2,253.2,122,61,10.05
1,98,1,0,0,4,271.4,119,63,9.52
0,155,0,1,3,1,211.7,121,78,6.96
0,55,1,0,0,0,132,103,47,13.98
1,152,0,1,1.16,1,146.8,128,61.6,14.28
1,72,1,1,1.67,4,96.6,59,60.7,15.77
0,185,1,1,2.59,0,157.3,123,74.9,12.89
0,158,1,0,0.14,0,205.2,97,57.4,12.03
1,136,1,0,0,1,250.2,121,66,13.36
1,119,0,1,3.75,1,172.1,119,86.5,11.18
1,68,1,0,0,2,249.9,127,65,12.73
0,83,1,0,0,3,178.8,102,45,8.4
1,113,1,0,0,2,128.7,100,42,11.36
0,58,1,1,3.02,1,240.4,80,81.2,5.95
1,79,1,0,0.31,1,268.3,114,65.1,9.28
1,28,1,0,0,6,121.7,48,32,6.29
1,161,1,0,0,4,154.7,84,42,8.89
0,111,1,1,2.78,2,128.8,104,63.8,7.87
1,151,0,0,0.29,0,218,57,49.9,5.72
1,74,0,0,0,1,125.8,103,40,10.39
1,105,0,1,3.97,0,156.1,89,75.7,5.36
1,89,1,0,0,1,303.9,95,74,13.05
1,54,0,0,0.38,2,190.5,108,58.8,12.99
0,112,1,1,2.48,2,181.8,110,75.8,11.41
0,98,1,0,0,3,72.8,107,29,9.32
0,66,1,1,3.24,2,187.8,117,75.4,6.49
1,80,1,0,0,2,268.7,120,72,15.05
0,110,1,0,0,1,148.5,115,49,13.82
1,106,0,0,0,3,204,84,49,8.43
0,140,1,0,0,1,159.1,104,50,13.49
1,70,0,0,0,2,226.7,98,58,11.41
0,158,1,0,0,1,209.9,112,55,11.07
1,47,0,0,0,0,47.8,120,24,8.95
1,140,1,0,0,4,120.3,108,41,12.02
0,79,1,0,0,2,213.6,110,57,11.75
0,79,1,0,0,0,177.9,83,45,8.37
0,56,1,0,0,1,121.6,84,35,8.27
0,143,1,0,0.27,1,202.8,109,51.7,8.29
1,95,0,1,1.11,0,220.2,109,65.1,9.27
1,113,1,0,0,1,209.4,151,66,17.37
1,60,0,1,3.78,0,265.9,113,101.8,10.79
0,61,1,1,2.67,3,163.7,78,64.7,5.66
1,24,1,0,0.23,0,243,91,59.3,9.2
0,100,1,1,1.92,0,58.8,104,48.2,10.98
1,143,1,0,0,4,167.8,72,47,10.55
1,121,0,0,0,3,167.7,94,37,4.69
1,24,1,0,0,2,149,73,37,6.55
0,90,1,0,0,1,193.7,83,47,7.71
1,139,1,0,0,1,236.6,109,55,8.5
0,107,1,1,3.4,3,198.9,87,86,10.35
1,125,0,0,0.3,0,298.4,78,77,13.53
0,64,1,0,0,0,261.9,113,58,7.41
1,123,0,0,0,4,125.5,106,33,6.45
1,117,0,0,0,2,167.1,86,44,8.88
1,119,1,0,0.21,3,239.1,88,64.1,12.18
0,52,1,1,2.97,1,142.1,77,70.7,9.65
0,67,1,1,3.92,1,129.6,107,81.2,11.65
1,88,1,0,0,4,85.7,112,34,11.08
0,118,1,0,0,1,133.4,113,33,6.05
1,147,1,1,2.73,2,197.3,134,73.3,7.06
1,53,1,0,0.31,0,261.2,119,69.1,12.54
0,1,1,1,2.19,1,208,115,73.9,9.25
0,105,1,0,0.28,2,125.4,116,46.8,13.08
1,136,1,0,0.31,1,259.4,99,62.1,8.64
1,82,1,0,0,3,266.9,83,65,11.49
1,54,1,0,0.21,2,247.5,85,64.1,11.27
0,99,1,0,0,3,200,66,44,5.4
1,101,1,0,0,3,269.7,85,64,10.38
0,52,1,1,2.21,0,169.3,88,70.1,11.3
1,40,1,0,0,4,169.7,115,41,7.07
0,123,1,0,0.2,1,209.4,49,58,11.87
1,103,1,0,0,6,174.7,151,43,7.4
0,112,1,1,2.7,2,113.7,117,60,7.88
0,101,1,0,0,1,93.8,127,29,7.5
1,95,1,0,0,6,128.6,115,41,10.81
1,82,1,0,0.31,6,167.1,77,43.1,6.59
1,89,1,0,0,1,213,63,52,8.83
1,75,1,0,0,4,109,88,41,12.97
0,87,0,1,3.11,1,221.6,79,83.1,7.86
0,57,1,1,3.51,1,279.9,121,102.1,11.16
1,141,1,1,1.81,1,322.4,92,97.1,14.16
0,63,0,0,0,1,62.9,112,28,10.15
0,134,1,1,2.92,1,142.9,105,61.2,4.43
1,115,0,0,0,2,122,110,40,11.01
1,100,1,0,0,1,96.5,86,35,10.51
1,121,1,1,1.57,3,198.4,129,56.7,3.77
0,166,1,0,0,0,274.3,110,52,2.65
0,76,1,1,2.19,1,214.6,110,75.9,10.26
1,154,1,0,0,3,154.5,122,45,10.71
1,137,0,0,0.21,0,258,112,67.1,12.33
1,91,1,0,0,1,153,123,38,7.06
0,154,1,1,3.94,1,64.9,76,66.4,9.21
0,107,1,1,3.24,1,248.6,91,85.4,5.97
1,74,1,0,0.21,1,282.5,114,69.1,11
0,75,1,0,0,3,224.7,116,55,9.6
0,153,1,1,2.03,1,167.7,104,70.3,12.34
0,55,1,0,0,1,245.5,130,59,9.64
1,102,1,0,0,2,273.2,85,65,10.56
0,111,1,0,0,2,246.5,108,61,10.82
1,66,1,0,0,4,154,133,44,9.95
0,95,1,1,2.86,0,262.2,123,87.6,8.26
1,80,1,0,0,0,322.3,113,74,11.1
0,110,1,0,0,3,196.1,103,51,9.99
0,71,1,0,0,2,141.2,132,37,7.46
1,34,1,0,0.29,2,293.7,89,76.9,13.63
1,170,1,1,2.94,4,199.5,119,75.4,6.75
1,118,1,0,0,5,267.8,145,73,15.82
1,93,0,0,0,1,131.4,78,42,10.99
1,94,1,0,0.18,1,234.4,103,65.8,13.97
1,112,1,0,0,2,335.5,77,76,10.63
1,80,0,0,0,1,276.5,122,64,9.78
0,153,1,0,0.33,0,228.9,102,56.3,8.04
0,70,1,0,0.3,1,170.2,98,46,7.76
1,126,1,0,0,5,58.2,94,22,6.94
1,101,1,0,0,5,89.7,118,38,13.01
0,117,1,0,0.39,1,119,82,40.9,9.38
1,84,1,0,0,2,289.1,100,70,11.69
0,92,0,1,2.03,0,281.1,88,85.3,9.9
1,174,1,1,3.92,4,167.8,91,85.2,10.27
1,113,1,0,0,5,61.2,111,19,4.62
0,130,1,0,0.35,1,162.8,113,56.5,14.52
0,92,1,1,2.62,0,134,112,67.2,10.3
0,89,1,1,2.84,2,188,105,73.4,7.57
1,71,1,0,0,0,238,82,65,13.93
0,132,0,1,3.48,2,200.3,75,88.8,11.33
1,107,1,0,0,1,294.9,71,67,9.64
0,104,1,0,0.24,1,170.6,97,45.4,8.11
0,210,1,1,2.73,3,313.8,87,93.3,7.39
1,113,1,0,0,2,239.7,47,65,14.15
1,133,1,0,0,0,117.8,100,37,9.96
1,159,0,0,0.44,1,257.1,53,75.4,15.61
1,136,1,0,0.45,1,269.8,106,70.5,11.44
0,99,1,1,2.86,2,179.1,93,79.6,11.92
0,99,1,0,0,1,62.9,81,31,11.55
0,139,1,0,0,3,196,135,50,9.3
1,147,0,1,3,3,157.5,109,73,9.48
0,141,1,0,0,0,185.1,126,52,11.65
0,185,0,1,3.48,2,154.1,114,71.8,5.94
0,135,1,0,0,0,151.7,82,36,5.95
0,62,1,0,0,2,172.8,101,47,10.24
1,46,1,0,0,2,250.3,100,65,13.03
1,159,1,0,0,0,167.4,68,41,7.19
0,118,1,0,0,4,188.8,60,51,10.87
0,67,1,1,3.48,2,186.2,117,91.8,14.34
0,107,1,1,2.21,1,134.2,101,63.1,10.6
1,52,1,0,0,4,155,110,38,6.67
1,50,1,0,0,5,131.1,129,36,8.03
1,115,1,0,0,3,226.4,101,63,13.84
0,55,1,0,0.23,0,189,100,45.3,5.93
0,108,1,0,0,1,246.2,102,60,10.12
0,55,1,0,0,2,119.7,148,41,11.59
0,60,1,0,0,1,145,133,43,10.46
0,73,1,0,0,1,187.3,118,53,11.99
1,81,0,0,0,3,149.4,68,41,8.6
1,97,1,0,0,4,120.8,96,35,8.49
1,135,1,1,3.48,2,201.4,100,90.8,12.33
1,44,1,0,0.33,2,228.1,121,66.3,13.83
1,136,0,0,0,3,199.6,89,52,10.57
1,82,1,0,0,3,189.2,81,48,9.22
1,77,1,0,0,5,62.4,89,26,8.5
1,51,0,0,0,0,153.6,108,46,11.65
1,97,1,0,0.4,0,276.1,82,69,10.06
0,50,1,0,0,1,157.1,90,46,11.17
1,94,1,0,0.28,3,269.2,104,65.8,9.69
0,141,1,0,0,0,146.5,121,40,8.5
1,75,0,0,0,1,222.4,78,66,16.35
0,75,1,0,0,2,122.8,89,39,10.57
0,145,1,0,0,2,129.4,97,38,9.27
1,127,0,0,0,4,143.2,60,40,8.98
0,69,1,0,0,3,183.4,85,52,11.88
0,80,1,0,0,2,220,114,56,10.39
1,137,0,0,0,0,237.3,103,56,8.84
0,87,1,1,0,1,165.8,122,45,9.35
0,96,1,1,3.05,1,183.1,88,74.5,7.37
0,131,1,1,2.46,0,69.1,122,45.6,5.07
1,134,1,1,1.65,2,247.2,105,78.5,11.28
0,121,1,1,2.03,3,218.2,88,87.3,17.43
1,57,1,0,0,2,272.7,74,66,11.25
1,95,0,1,2.78,5,136.8,91,68.8,10.04
0,66,1,1,3.27,1,106.7,76,68.7,10.49
1,57,0,0,0,0,115,65,30,6.12
1,153,1,0,0,1,159.5,103,51,13.78
0,86,1,0,0.42,3,190.5,115,52.2,8.98
1,98,1,0,0,4,0,0,14,7.98
0,120,1,0,0,3,180,80,50,11.21
0,77,1,1,2.73,1,149.4,74,63.3,6.2
0,130,1,0,0,5,139.1,72,45,12.3
1,105,0,1,3.56,1,220.7,82,92.6,10.89
1,61,1,0,0,1,260,123,63,10.53
1,87,1,0,0,0,240,83,53,6.71
1,77,1,0,0,2,251.8,72,61,10.29
1,101,1,1,2.38,1,123.7,125,59.8,8.63
0,96,1,0,0,1,170.5,86,53,13.88
0,145,1,0,0,1,229.6,82,51,6.91
1,193,1,0,0.29,2,96.8,92,31.9,7.13
1,36,0,1,5.4,0,196.8,89,110,12.75
0,101,1,0,0,0,206.6,105,55,11.25
0,89,0,0,0,1,125.6,108,40,10.65
0,98,1,0,0,5,206.5,92,51,8.81
0,138,1,0,0.28,3,171.4,117,41.8,5.76
0,103,1,0,0,1,246.5,47,59,9.78
0,50,1,0,0.21,1,301.7,82,68.1,8.36
0,125,1,0,0.39,2,131.8,97,38.9,6.84
0,138,0,1,3.16,0,225.2,116,85.6,8.67
0,92,1,0,0,1,197,84,57,13.47
1,93,1,1,3.19,4,134.2,105,68.9,8.13
1,120,1,0,0,1,212.1,131,54,10.47
1,112,1,0,0,5,111.9,92,29,5.7
1,224,0,0,0.26,1,171.5,99,45.6,8
1,64,1,0,0,5,148.1,73,40,8.25
0,90,1,0,0,1,261.8,128,64,11.03
1,123,1,0,0,2,236.2,135,64,13.7
0,108,1,0,0.21,3,210.7,112,59.1,11.94
0,48,1,0,0,2,171.9,98,43,7.95
0,148,1,0,0.39,1,178.3,98,58.9,14.13
0,129,1,0,0,1,168.4,117,48,10.86
1,111,1,0,0,4,172.8,58,45,9.16
1,119,1,0,0,2,287.1,115,63,7.97
0,3,1,1,3.08,2,67.4,116,63.8,12.2
0,93,1,1,2.54,2,218.7,117,72.4,5.75
0,61,1,1,2.7,2,252.4,106,86,9.39
1,52,0,0,0,0,251.4,118,60,9.83
1,105,1,1,2.24,4,109.6,108,62.4,12.47
1,180,1,0,0,3,224.9,105,60,12.5
1,166,0,0,0,0,47.7,89,31,13.22
1,92,0,0,0,3,252.3,120,61,10.35
0,123,1,0,0,3,206.9,85,56,12.24
1,85,1,0,0,2,236.9,93,58,9.89
1,131,0,0,0.34,3,122.3,83,34.4,5.94
1,188,0,1,3.89,1,198.8,115,86.9,8.33
0,35,1,1,1.35,2,181.2,76,59.5,8.88
1,138,0,1,2.89,3,211.2,117,91.9,15.63
0,162,1,1,3.32,0,184.5,139,80.2,9.16
0,91,1,1,2.46,1,216.6,101,76.6,8.66
0,30,1,1,1.78,0,217.4,74,73.8,10.69
1,93,0,1,3.78,1,225.7,117,86.8,5.98
0,111,1,1,1.92,1,127.1,94,61.2,11.42
0,105,1,0,0.3,1,146.4,81,48,11.26
0,145,0,1,3,1,175.3,107,73,7.67
0,111,1,1,3.27,1,193.1,104,75.7,5.58
1,128,0,1,2.54,2,223.5,81,80.4,9.44
0,70,1,1,2.54,3,143.4,72,64.4,8.5
0,1,1,0,0,1,144.8,107,35,5.63
0,122,1,0,0,2,119.3,93,40,11.2
0,120,1,0,0,1,131.7,99,37,8.16
0,114,1,0,0.12,1,203.8,85,44.2,4.39
0,32,1,1,2.43,1,243.5,137,86.3,11.84
1,99,1,0,0,7,115.5,75,39,10.91
1,40,1,1,2.03,1,224.7,69,70.3,6.73
1,105,1,0,0,2,273.8,97,72,14.49
1,53,1,0,0,9,228.6,117,51,6.64
1,120,0,0,0,1,179.9,72,46,8.5
1,71,0,0,0,4,186.1,114,49,9.93
