date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2015-01-01,Quarter1,sewing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,1
2015-01-01,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0,0,0,8,1
2015-01-01,Quarter1,sewing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,1
2015-01-01,Quarter1,sewing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,1
2015-01-01,Quarter1,sewing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,1
2015-01-01,Quarter1,sewing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,1
2015-01-01,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0,0,0,8,1
2015-01-01,Quarter1,sewing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,1
2015-01-01,Quarter1,sewing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,1
2015-01-01,Quarter1,sewing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,1
2015-01-01,Quarter1,sewing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0
2015-01-01,Quarter1,sewing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0
2015-01-01,Quarter1,sewing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0
2015-01-01,Quarter1,finishing ,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0
2015-01-01,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0,0,0,8,0
2015-01-01,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0
2015-01-01,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0
2015-01-01,Quarter1,sewing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0
2015-01-01,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12,0
2015-01-03,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,1
2015-01-03,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,1
2015-01-03,Quarter1,finishing ,Saturday,9,0.8,4.15,,960,0,0,0,0,8,1
2015-01-03,Quarter1,finishing ,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,1
2015-01-03,Quarter1,finishing ,Saturday,1,0.8,3.94,,960,0,0,0,0,8,1
2015-01-03,Quarter1,sewing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,1
2015-01-03,Quarter1,sewing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,1
2015-01-03,Quarter1,sewing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,1
2015-01-03,Quarter1,sewing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,1
2015-01-03,Quarter1,sewing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,1
2015-01-03,Quarter1,sewing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,1
2015-01-03,Quarter1,sewing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,1
2015-01-03,Quarter1,sewing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,1
2015-01-03,Quarter1,sewing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,1
2015-01-03,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0,0,0,8,1
2015-01-03,Quarter1,sewing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,1
2015-01-03,Quarter1,finishing ,Saturday,10,0.7,4.15,,960,0,0,0,0,8,0
2015-01-03,Quarter1,sewing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0
2015-01-03,Quarter1,sewing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0
2015-01-03,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0,0,0,8,0
2015-01-03,Quarter1,finishing ,Saturday,7,0.8,3.94,,960,0,0,0,0,8,0
2015-01-04,Quarter1,finishing ,Sunday,3,0.75,4.15,,1560,0,0,0,0,8,1
2015-01-04,Quarter1,finishing ,Sunday,9,0.8,3.94,,960,0,0,0,0,8,1
2015-01-04,Quarter1,finishing ,Sunday,1,0.8,3.94,,960,0,0,0,0,8,1
2015-01-04,Quarter1,sewing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,1
2015-01-04,Quarter1,finishing ,Sunday,4,0.8,3.94,,6600,0,0,0,0,20,1
2015-01-04,Quarter1,sewing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,1
2015-01-04,Quarter1,sewing,Sunday,7,0.8,25.9,1227,7020,60,0,0,0,56.5,1
2015-01-04,Quarter1,sewing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,1
2015-01-04,Quarter1,sewing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,1
2015-01-04,Quarter1,sewing,Sunday,1,0.8,26.16,1033,7080,63,0,0,0,59,1
2015-01-04,Quarter1,sewing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,1
2015-01-04,Quarter1,sewing,Sunday,12,0.8,11.61,1216,6975,50,0,0,0,31,1
2015-01-04,Quarter1,finishing ,Sunday,2,0.8,3.94,,960,0,0,0,0,8,1
2015-01-04,Quarter1,finishing ,Sunday,10,0.7,3.94,,4320,0,0,0,0,18,1
2015-01-04,Quarter1,sewing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,1
2015-01-04,Quarter1,sewing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,1
2015-01-04,Quarter1,sewing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0
2015-01-04,Quarter1,finishing ,Sunday,8,0.8,2.9,,960,0,0,0,0,8,0
2015-01-04,Quarter1,finishing ,Sunday,7,0.8,2.9,,960,0,0,0,0,8,0
2015-01-04,Quarter1,sewing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0
2015-01-04,Quarter1,finishing ,Sunday,11,0.75,4.15,,960,0,0,0,0,8,0
2015-01-05,Quarter1,finishing ,Monday,1,0.8,3.94,,1920,0,0,0,0,8,1
2015-01-05,Quarter1,finishing ,Monday,11,0.8,3.94,,2400,0,0,0,0,10,1
2015-01-05,Quarter1,finishing ,Monday,4,0.8,3.94,,3840,0,0,0,0,16,1
2015-01-05,Quarter1,finishing ,Monday,3,0.75,4.15,,1920,0,0,0,0,8,1
2015-01-05,Quarter1,sewing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,1
2015-01-05,Quarter1,finishing ,Monday,9,0.8,2.9,,1920,0,0,0,0,8,1
2015-01-05,Quarter1,finishing ,Monday,2,0.8,3.94,,960,0,0,0,0,8,1
2015-01-05,Quarter1,sewing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,1
2015-01-05,Quarter1,sewing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,1
2015-01-05,Quarter1,sewing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,1
2015-01-05,Quarter1,sewing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,1
2015-01-05,Quarter1,sewing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,1
2015-01-05,Quarter1,sewing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,1
2015-01-05,Quarter1,sewing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,1
2015-01-05,Quarter1,sewing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,1
2015-01-05,Quarter1,finishing ,Monday,10,0.75,2.9,,960,0,0,0,0,8,1
2015-01-05,Quarter1,finishing ,Monday,5,0.6,2.9,,960,0,0,0,0,8,1
2015-01-05,Quarter1,sewing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,1
2015-01-05,Quarter1,sewing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,1
2015-01-05,Quarter1,finishing ,Monday,7,0.8,3.94,,960,0,0,0,0,8,0
2015-01-05,Quarter1,finishing ,Monday,8,0.8,2.9,,960,0,0,0,0,8,0
2015-01-05,Quarter1,sewing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0
2015-01-06,Quarter1,finishing ,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18,1
2015-01-06,Quarter1,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-06,Quarter1,finishing ,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10,1
2015-01-06,Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15,1
2015-01-06,Quarter1,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-06,Quarter1,sewing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,1
2015-01-06,Quarter1,sewing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,1
2015-01-06,Quarter1,finishing ,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8,1
2015-01-06,Quarter1,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-06,Quarter1,sewing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,1
2015-01-06,Quarter1,sewing,Tuesday,4,0.8,28.08,925,10350,50,0,0,0,57.5,1
2015-01-06,Quarter1,sewing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,1
2015-01-06,Quarter1,sewing,Tuesday,12,0.8,11.61,1101,5310,50,0,0,0,31.5,1
2015-01-06,Quarter1,sewing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,1
2015-01-06,Quarter1,sewing,Tuesday,8,0.8,25.9,1083,10170,38,0,0,0,56.5,1
2015-01-06,Quarter1,sewing,Tuesday,6,0.8,11.61,910,4470,38,0,0,0,31.5,1
2015-01-06,Quarter1,sewing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,1
2015-01-06,Quarter1,sewing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,1
2015-01-06,Quarter1,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-06,Quarter1,sewing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0
2015-01-06,Quarter1,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-07,Quarter1,finishing ,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-07,Quarter1,finishing ,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-07,Quarter1,sewing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,1
2015-01-07,Quarter1,sewing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,1
2015-01-07,Quarter1,sewing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,1
2015-01-07,Quarter1,finishing ,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15,1
2015-01-07,Quarter1,finishing ,Wednesday,4,0.8,3.94,,4440,0,0,0,0,18,1
2015-01-07,Quarter1,finishing ,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-07,Quarter1,finishing ,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8,1
2015-01-07,Quarter1,finishing ,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,1
2015-01-07,Quarter1,sewing,Wednesday,2,0.8,28.08,776,10350,63,0,0,0,57.5,1
2015-01-07,Quarter1,sewing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,1
2015-01-07,Quarter1,sewing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,1
2015-01-07,Quarter1,sewing,Wednesday,3,0.8,19.87,924,9900,50,0,0,0,55,1
2015-01-07,Quarter1,sewing,Wednesday,12,0.8,11.61,1120,5670,50,0,0,0,31.5,1
2015-01-07,Quarter1,sewing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,1
2015-01-07,Quarter1,sewing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,1
2015-01-07,Quarter1,sewing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0
2015-01-07,Quarter1,finishing ,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-07,Quarter1,finishing ,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10,0
2015-01-07,Quarter1,sewing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0
2015-01-07,Quarter1,finishing ,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8,0
2015-01-08,Quarter2,finishing ,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-08,Quarter2,finishing ,Thursday,4,0.8,3.94,,12600,0,0,0,0,20,1
2015-01-08,Quarter2,sewing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,1
2015-01-08,Quarter2,finishing ,Thursday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-08,Quarter2,sewing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,1
2015-01-08,Quarter2,sewing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,1
2015-01-08,Quarter2,sewing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,1
2015-01-08,Quarter2,sewing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,1
2015-01-08,Quarter2,finishing ,Thursday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-08,Quarter2,finishing ,Thursday,5,0.7,4.15,,3840,0,0,0,0,8,1
2015-01-08,Quarter2,sewing,Thursday,2,0.8,28.08,783,10050,63,0,0,0,58.5,1
2015-01-08,Quarter2,sewing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,1
2015-01-08,Quarter2,sewing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,1
2015-01-08,Quarter2,sewing,Thursday,6,0.8,11.41,411,14640,50,0,0,0,30.5,1
2015-01-08,Quarter2,sewing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,1
2015-01-08,Quarter2,finishing ,Thursday,10,0.75,3.94,,1440,0,0,0,0,8,1
2015-01-08,Quarter2,finishing ,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,1
2015-01-08,Quarter2,finishing ,Thursday,3,0.75,4.15,,2160,0,0,0,0,12,0
2015-01-08,Quarter2,finishing ,Thursday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-08,Quarter2,finishing ,Thursday,11,0.8,4.15,,900,0,0,0,0,5,0
2015-01-08,Quarter2,sewing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0
2015-01-08,Quarter2,sewing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0
2015-01-10,Quarter2,finishing ,Saturday,1,0.8,3.94,,2160,0,0,0,0,8,1
2015-01-10,Quarter2,finishing ,Saturday,3,0.75,4.15,,2760,0,0,0,0,12,1
2015-01-10,Quarter2,finishing ,Saturday,4,0.8,3.94,,6000,0,0,0,0,20,1
2015-01-10,Quarter2,finishing ,Saturday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-10,Quarter2,sewing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,1
2015-01-10,Quarter2,sewing,Saturday,7,0.8,25.9,970,10170,60,0,0,0,56.5,1
2015-01-10,Quarter2,sewing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,1
2015-01-10,Quarter2,finishing ,Saturday,10,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-10,Quarter2,finishing ,Saturday,11,0.8,4.15,,1440,0,0,0,0,8,1
2015-01-10,Quarter2,finishing ,Saturday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-10,Quarter2,sewing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,1
2015-01-10,Quarter2,sewing,Saturday,2,0.8,28.08,749,10350,63,0,0,0,57.5,1
2015-01-10,Quarter2,sewing,Saturday,12,0.8,11.61,893,4710,50,0,0,0,31.5,1
2015-01-10,Quarter2,sewing,Saturday,6,0.8,11.41,887,5490,50,0,0,0,30.5,1
2015-01-10,Quarter2,sewing,Saturday,1,0.8,26.16,1335,10620,63,0,0,0,59,1
2015-01-10,Quarter2,sewing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,1
2015-01-10,Quarter2,sewing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,1
2015-01-10,Quarter2,sewing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0
2015-01-10,Quarter2,finishing ,Saturday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-10,Quarter2,finishing ,Saturday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-10,Quarter2,sewing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0
2015-01-10,Quarter2,finishing ,Saturday,5,0.5,4.15,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,finishing ,Sunday,3,0.75,4.15,,1440,0,0,0,0,8,1
2015-01-11,Quarter2,finishing ,Sunday,4,0.8,3.94,,3600,0,0,0,0,20,1
2015-01-11,Quarter2,sewing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,1
2015-01-11,Quarter2,finishing ,Sunday,1,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-11,Quarter2,finishing ,Sunday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-11,Quarter2,sewing,Sunday,1,0.8,26.16,1383,10620,75,0,0,0,59,1
2015-01-11,Quarter2,sewing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,1
2015-01-11,Quarter2,sewing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,1
2015-01-11,Quarter2,finishing ,Sunday,10,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-11,Quarter2,finishing ,Sunday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-11,Quarter2,sewing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,1
2015-01-11,Quarter2,sewing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,1
2015-01-11,Quarter2,sewing,Sunday,2,0.8,28.08,805,10530,63,0,0,0,58.5,1
2015-01-11,Quarter2,sewing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,1
2015-01-11,Quarter2,sewing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0
2015-01-11,Quarter2,finishing ,Sunday,11,0.8,4.15,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,finishing ,Sunday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,finishing ,Sunday,5,0.5,4.15,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,sewing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0
2015-01-11,Quarter2,finishing ,Sunday,6,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,finishing ,Sunday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-11,Quarter2,sewing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0
2015-01-11,Quarter2,sewing,Sunday,5,0.6,20.79,1208,7980,0,0,0,0,57,0
2015-01-12,Quarter2,finishing ,Monday,1,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-12,Quarter2,finishing ,Monday,4,0.35,4.3,,3240,0,0,0,0,18,1
2015-01-12,Quarter2,finishing ,Monday,3,0.8,4.15,,1800,0,0,0,0,10,1
2015-01-12,Quarter2,finishing ,Monday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-12,Quarter2,finishing ,Monday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-12,Quarter2,sewing,Monday,1,0.8,26.16,1099,8220,75,0,0,0,59,1
2015-01-12,Quarter2,sewing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,1
2015-01-12,Quarter2,sewing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,1
2015-01-12,Quarter2,sewing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,1
2015-01-12,Quarter2,finishing ,Monday,6,0.8,2.9,,1440,0,0,0,0,8,1
2015-01-12,Quarter2,finishing ,Monday,5,0.65,4.15,,1440,0,0,0,0,8,1
2015-01-12,Quarter2,sewing,Monday,3,0.8,19.87,941,9900,0,0,0,0,55,1
2015-01-12,Quarter2,sewing,Monday,6,0.8,11.41,843,5670,50,0,0,0,31.5,1
2015-01-12,Quarter2,sewing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,1
2015-01-12,Quarter2,sewing,Monday,2,0.8,28.08,737,10530,63,0,0,0,58.5,1
2015-01-12,Quarter2,finishing ,Monday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-12,Quarter2,sewing,Monday,10,0.8,50.48,381,6930,45,0,0,0,58.5,0
2015-01-12,Quarter2,sewing,Monday,5,0.65,20.79,1141,8460,0,0,0,0,59,0
2015-01-12,Quarter2,sewing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0
2015-01-12,Quarter2,finishing ,Monday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-12,Quarter2,finishing ,Monday,11,0.8,4.15,,1440,0,0,0,0,8,0
2015-01-12,Quarter2,sewing,Monday,4,0.35,22.4,581,7350,0,0,0,0,51.5,0
2015-01-12,Quarter2,finishing ,Monday,10,0.8,3.94,,1440,0,0,0,0,8,0
2015-01-13,Quarter2,finishing ,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12,1
2015-01-13,Quarter2,finishing ,Tuesday,1,0.8,3.94,,1440,0,0,0,0,2,1
2015-01-13,Quarter2,finishing ,Tuesday,10,0.8,3.94,,5400,0,0,0,0,20,1
2015-01-13,Quarter2,finishing ,Tuesday,3,0.8,4.15,,1620,0,0,0,0,9,1
2015-01-13,Quarter2,finishing ,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-13,Quarter2,sewing,Tuesday,1,0.8,26.16,1073,10620,75,0,0,0,59,1
2015-01-13,Quarter2,sewing,Tuesday,9,0.8,26.16,1156,10620,75,0,0,0,59,1
2015-01-13,Quarter2,sewing,Tuesday,8,0.8,25.9,1211,10260,60,0,0,0,57,1
2015-01-13,Quarter2,sewing,Tuesday,7,0.8,25.9,1126,10170,60,0,0,0,56.5,1
2015-01-13,Quarter2,finishing ,Tuesday,5,0.65,4.15,,1440,0,0,0,0,8,1
2015-01-13,Quarter2,finishing ,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,1
2015-01-13,Quarter2,sewing,Tuesday,6,0.8,11.61,1004,5670,50,0,0,0,31.5,1
2015-01-13,Quarter2,sewing,Tuesday,12,0.8,11.61,1063,5670,50,0,0,0,31.5,1
2015-01-13,Quarter2,sewing,Tuesday,2,0.8,28.08,723,10530,50,0,0,0,58.5,1
2015-01-13,Quarter2,sewing,Tuesday,3,0.8,42.27,465,9900,54,0,0,0,55,0
2015-01-13,Quarter2,finishing ,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-13,Quarter2,finishing ,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0
2015-01-13,Quarter2,finishing ,Tuesday,11,0.8,4.15,,1440,0,0,0,0,8,0
2015-01-13,Quarter2,sewing,Tuesday,11,0.7,27.13,530,9540,37,0,0,0,53,0
2015-01-13,Quarter2,sewing,Tuesday,5,0.7,20.79,1297,10440,0,0,0,0,58,0
